"","base_text","base_value"
"121","대한민국와 우크라이나간의 거리","7,547 km"
"122","대한민국와 리비아간의 거리","9,972 km"
"123","대한민국와 우간다간의 거리","10,409 km"
"124","대한민국와 모로코간의 거리","11,138 km"
"125","대한민국와 알제리간의 거리","10,938 km"
"126","대한민국와 모나코간의 거리","9,306 km"
"127","대한민국와 몰도바간의 거리","7,781 km"
"128","대한민국와 마다가스카르간의 거리","10,437 km"
"129","대한민국와 에쿠아도르간의 거리","15,378 km"
"130","대한민국와 마케도니아어간의 거리","8,579 km"
"131","대한민국와 미국간의 거리","10,751 km"
"132","대한민국와 말리간의 거리","12,199 km"
"133","대한민국와 에스토니아간의 거리","7,334 km"
"134","대한민국와 미얀마간의 거리","3,443 km"
"135","대한민국와 몽골간의 거리","2,326 km"
"136","대한민국와 이집트간의 거리","8,874 km"
"137","대한민국와 서사하라간의 거리","12,154 km"
"138","대한민국와 말티니크간의 거리","14,318 km"
"139","대한민국와 우루과이간의 거리","19,517 km"
"140","대한민국와 모리타니간의 거리","12,339 km"
"141","대한민국와 우즈베키스탄간의 거리","5,399 km"
"142","대한민국와 몬트세라트간의 거리","14,067 km"
"143","대한민국와 몰타간의 거리","9,472 km"
"144","대한민국와 모리셔스간의 거리","9,668 km"
"145","대한민국와 몰디브간의 거리","6,720 km"
"146","대한민국와 멕시코간의 거리","11,542 km"
"147","대한민국와 바티칸간의 거리","9,151 km"
"148","대한민국와 말레이지아간의 거리","4,405 km"
"149","대한민국와 에리트리아간의 거리","8,847 km"
"150","대한민국와 모잠비크간의 거리","11,405 km"
"151","대한민국와 스페인간의 거리","10,185 km"
"152","대한민국와 이디오피아간의 거리","9,169 km"
"153","대한민국와 베네수엘라간의 거리","15,074 km"
"154","대한민국와 나미비아간의 거리","13,160 km"
"155","대한민국와 뉴 칼레도니아간의 거리","7,467 km"
"156","대한민국와 니제르간의 거리","11,322 km"
"157","대한민국와 베트남간의 거리","3,111 km"
"158","대한민국와 나이지리아간의 거리","11,923 km"
"159","대한민국와 니카라과간의 거리","13,580 km"
"160","대한민국와 네덜란드간의 거리","8,750 km"
"161","대한민국와 바누아투간의 거리","7,035 km"
"162","대한민국와 노르웨이간의 거리","7,966 km"
"163","대한민국와 네팔간의 거리","4,157 km"
"164","대한민국와 핀란드간의 거리","7,118 km"
"165","대한민국와 피지간의 거리","7,969 km"
"166","대한민국와 나우루간의 거리","5,725 km"
"167","대한민국와 마이크로네시아간의 거리","4,471 km"
"168","대한민국와 니우에간의 거리","8,960 km"
"169","대한민국와 프랑스간의 거리","9,384 km"
"170","대한민국와 뉴질랜드간의 거리","9,799 km"
"171","대한민국와 가봉간의 거리","12,389 km"
"172","대한민국와 영국간의 거리","8,857 km"
"173","대한민국와 그루지야간의 거리","7,007 km"
"174","대한민국와 오만간의 거리","7,034 km"
"175","대한민국와 가나간의 거리","12,779 km"
"176","대한민국와 감비아간의 거리","13,295 km"
"177","대한민국와 기니간의 거리","13,244 km"
"178","대한민국와 과달로프간의 거리","14,131 km"
"179","대한민국와 그리스간의 거리","8,744 km"
"180","대한민국와 과테말라간의 거리","13,014 km"
"181","대한민국와 파나마간의 거리","14,239 km"
"182","대한민국와 가이아나간의 거리","15,428 km"
"183","대한민국와 페루간의 거리","16,254 km"
"184","대한민국와 파푸아뉴기니간의 거리","4,990 km"
"185","대한민국와 필리핀간의 거리","2,630 km"
"186","대한민국와 파키스탄간의 거리","5,394 km"
"187","대한민국와 폴란드간의 거리","8,052 km"
